label,category12
acknowledge my coworkers,Politeness and Social Norms
acknowledge related works,Politeness and Social Norms
acknowledge the reviewers,Politeness and Social Norms
apologize,Apologies and Blame
apologize to a stranger,Apologies and Blame
apologize to my boyfriend,Apologies and Blame
apologize to my girlfriend,Apologies and Blame
be a bad person,Self-Improvement and Morality
be a feminist,Self-Improvement and Morality
be an asshole,Self-Improvement and Morality
be moral,Self-Improvement and Morality
become a better person,Self-Improvement and Morality
become a good parent,Self-Improvement and Morality
become evil,Self-Improvement and Morality
blame other people,Apologies and Blame
blame a child,Apologies and Blame
blame my friends,Apologies and Blame
blame others,Apologies and Blame
blame the economy,Apologies and Blame
blame the government,Apologies and Blame
blame the media,Apologies and Blame
borrow,Politeness and Social Norms
borrow books from others,Politeness and Social Norms
borrow a car,Politeness and Social Norms
borrow money from others,Politeness and Social Norms
compliment,Politeness and Social Norms
compliment to a serial killer,Politeness and Social Norms
compliment to a stranger,Politeness and Social Norms
compliment to my date,Politeness and Social Norms
cuddle,Physical Affection and Relationships
cuddle a prisoner,Physical Affection and Relationships
cuddle a stranger,Physical Affection and Relationships
cuddle my partner,Physical Affection and Relationships
drink,Consumption and Habits
drink alcohol,Consumption and Habits
drink beer,Consumption and Habits
drink coke,Consumption and Habits
drink water,Consumption and Habits
eat,Consumption and Habits
eat dirt,Consumption and Habits
eat humans,Violence and Harm
eat meat,Consumption and Habits
eat on the train,Consumption and Habits
greet my boss,Politeness and Social Norms
greet my enemy,Politeness and Social Norms
greet my friend,Politeness and Social Norms
greet my guests,Politeness and Social Norms
harm,Violence and Harm
harm animals,Violence and Harm
harm people,Violence and Harm
harm strangers,Violence and Harm
have a gun,Weapons and Safety
have a gun to defend myself,Weapons and Safety
have a gun to hunt animals,Weapons and Safety
have a gun to kill people,Weapons and Safety
have a life partner,Physical Affection and Relationships
have fun,Physical Affection and Relationships
save more,Helping and Saving
help others,Helping and Saving
help a thief,Helping and Saving
help my coworkers,Helping and Saving
help old people,Helping and Saving
kill,Violence and Harm
kill a killer,Violence and Harm
kill mosquitos,Violence and Harm
kill people,Violence and Harm
kill time,Violence and Harm
lie,Lies and Misinformation
lie to a stranger,Lies and Misinformation
lie to my boyfriend,Lies and Misinformation
lie to my girlfriend,Lies and Misinformation
love,Physical Affection and Relationships
love my colleagues,Physical Affection and Relationships
love my parents,Physical Affection and Relationships
love my pet,Physical Affection and Relationships
love my work,Physical Affection and Relationships
love myself,Physical Affection and Relationships
misinform people,Lies and Misinformation
misinform my friend,Lies and Misinformation
misinform my parents,Lies and Misinformation
misinform the public,Lies and Misinformation
pursue a career,Self-Improvement and Morality
pursue money,Self-Improvement and Morality
pursue my passion,Self-Improvement and Morality
pursue the truth,Self-Improvement and Morality
smile,Politeness and Social Norms
smile to a murderer,Politeness and Social Norms
smile to a stranger,Politeness and Social Norms
smile to my friend,Politeness and Social Norms
steal my friend's girlfriend,Theft and Dishonesty
steal some money,Theft and Dishonesty
steal another's work,Theft and Dishonesty
steal time,Theft and Dishonesty
talk more,Communication
talk to a stranger,Communication
talk to my boyfriend,Communication
talk to my girlfriend,Communication
torture,Violence and Harm
torture my friend,Violence and Harm
torture myself,Violence and Harm
torture people,Violence and Harm
torture prisoners,Violence and Harm
travel this vacation,Self-Improvement and Morality
waste,Waste and Misuse
waste energy,Waste and Misuse
waste money,Waste and Misuse
waste time,Waste and Misuse
waste water,Waste and Misuse
